ദ്ദി(｡•̀ .<)~✩‧₊ wink
™ trademark,trade,mark,tm
😑 poker,-_-,serious,dead
😔 sad,down,crying,disappointed
🥺 sad,down,crying,disappointed
😱 surprised
🤯 surprised,explode
🤭 giggle,laugh
🫩 sleepless,restless,tired
🥱 sleepless,restless,tired
😋 tongue,tasty
😏 side,looking,smile,malicious
🫪 explode,exploding,fish,eye,fisheye,confused,weird
ヾ(≧▽≦*)o happy,excited
q(≧▽≦q) happy,excited
O(∩_∩)O happy,excited
(❁´◡`❁) happy,excited,cute
`(*>﹏<*)′ crying,sad,worried
(*^▽^*) happy,excited,yay
(´▽`ʃ♡ƪ) love,heart,cute,happy
(‾◡◝) sweat,dead,skull
o(*￣︶￣*)o thatface,naughty,happy
o(*￣▽￣*)ブ thatface,naughty,happy
\^o^/ happy,excited,yay
(/≧▽≦)/ happy,excited
ㄟ(≧◇≦)ㄏ confused,don'tknow
~\(≧▽≦)/~ yay,happy,excited
(👉ﾟヮﾟ)👉 greetings,pointing
👈(ﾟヮﾟ👈) greetings,pointing
(~°_ʖ~°) lennyface,serious
¯\_(ツ)_/¯ confused,don'tknow,shoulder,conformed
ᓚᘏᗢ cat
＞﹏＜ sad,crying,sobbing
＞︿＜ confused,sad,cry
<(＿　＿)> down,sad,cry
.·´¯`(>▂<)´¯`·. crying,sad
ヽ(*。>Д<)o゜ sad,angry,crying,goingaway
(；′⌒`) sad,down
╰（‵□′）╯ angry
o(≧口≦)o angry
￣へ￣ angry,unhappy
ᕦ(ò_óˇ)ᕤ strong,muscles
(╯‵□′)╯︵┻━┻ flippintable
ಠ_ಠ lennyface,weird
ಠಿ_ಠ lennyface,weird,sus
(>ლ) faceslap
(。>︿<)_θ confused,weird
╮（╯＿╰）╭ don'tknow,confused,dumb
(•̀ω•́)✧  happy,excited
o((>ω<))o happy,excited,yay,holding
(づ￣3￣)づ greetings,naughty
(ఠ_ʖఠ) lennyface,sus
(≧﹏≦) sad,crying,down
(*￣︿￣) angry
┻━┻︵ヽ(`Д´)ﾉ︵┻━┻ flippingtables,tableflip
